date,high,low,open,volume,adj_close,rolling_ma,RSI,MACD,Signal_Line,MACD_Histogram,SMA_20,upper_band,lower_band,year,month,day,weekday,Fourier_Sin_7,Fourier_Cos_7,Fourier_Sin_30,Fourier_Cos_30
1981-02-25,0.0871363213524035,0.0867071077227592,0.0867071077227592,19488000,0.0867071077227592,0.0878662718199645,42.73504061267459,-0.0052836468256547,-0.0046257790556125,-0.0006578677700422,0.092211117144244,0.1103349109549389,0.0740873233335491,1981,2,25,2,-1.959434878635765e-15,1.0,-0.7431448254773941,0.6691306063588583
1981-02-26,0.0884239811618764,0.0879947617650032,0.0879947617650032,10841600,0.0879947617650032,0.0878896336281534,46.05351123372285,-0.0049581354952533,-0.0046922503435406,-0.0002658851517126,0.0918095594890782,0.1092347314020944,0.074384387576062,1981,2,26,3,0.7818314824680286,0.6234898018587351,-0.5877852522924735,0.8090169943749471
1981-02-27,0.0918584533044404,0.0910000205039978,0.0910000205039978,14761600,0.0910000205039978,0.0884551585146705,53.33573514546824,-0.004406866542167,-0.0046351735832659,0.0002283070410988,0.0917324605381181,0.1083142211072212,0.0751506999690151,1981,2,27,4,0.974927912181824,-0.2225209339563124,-0.4067366430757995,0.9135454576426012
1981-03-02,0.0918584320854268,0.0914292186498642,0.0914292186498642,11760000,0.0914292186498642,0.0889958967210694,54.35117527250753,-0.0038905019371766,-0.004486239254048,0.0005957373168714,0.0917035803582844,0.1074769951945779,0.075930165521991,1981,3,2,0,-0.9749279121818232,-0.2225209339563164,0.2079116908177582,0.978147600733806
1981-03-03,0.0905708361657809,0.0901416167616844,0.0905708361657809,16172800,0.0901416167616844,0.0892042094557266,50.54393229497147,-0.0035443212498488,-0.0042978556532082,0.0007535344033593,0.091554821920513,0.1065877687762256,0.0765218750648004,1981,3,3,1,-0.7818314824680311,0.6234898018587318,0.4067366430757986,0.9135454576426016
1981-03-04,0.0897115995351104,0.0892823860049247,0.0897115995351104,13708800,0.0892823860049247,0.0892184233737626,47.957312433525374,-0.003301248563737,-0.004098534235314,0.0007972856715769,0.0913383994523617,0.1057029221039697,0.0769738768007538,1981,3,4,2,-2.204364238465236e-15,1.0,0.5877852522924727,0.8090169943749478
1981-03-05,0.0892824221954119,0.0888532027602195,0.0892824221954119,5376000,0.0888532027602195,0.0891520196258457,46.58334910605248,-0.003107422774324,-0.003900311943116,0.0007928891687919,0.0911017140531101,0.1048468367527817,0.0773565913534385,1981,3,5,3,0.7818314824680284,0.6234898018587353,0.7431448254773935,0.669130606358859
1981-03-06,0.0888531948277245,0.0879947617650032,0.0888531948277245,11603200,0.0879947617650032,0.0889416091056925,43.6942640342985,-0.0029886323603075,-0.0037179760265543,0.0007293436662468,0.0908058138351952,0.1040132781483618,0.0775983495220286,1981,3,6,4,0.974927912181824,-0.2225209339563122,0.8660254037844378,0.5000000000000014
1981-03-09,0.0815565220030449,0.0811273083090782,0.0815565220030449,15321600,0.0811273083090782,0.0875208271426717,27.7867909487632,-0.003409335504097,-0.0036562479220628,0.0002469124179658,0.0898840514041364,0.103733595993808,0.0760345068144648,1981,3,9,0,-0.9749279121818246,-0.2225209339563097,0.9945218953682732,-0.1045284632676535
1981-03-10,0.077692777428807,0.0772635638713836,0.077692777428807,28380800,0.0772635638713836,0.0856558701842557,22.475038886614517,-0.0040083123325334,-0.0037266608041569,-0.0002816515283764,0.0886821002105409,0.1038916330016131,0.0734725674194687,1981,3,10,1,-0.7818314824680312,0.6234898018587316,0.9510565162951538,-0.3090169943749469
1981-03-11,0.0751174981576549,0.0742590650916099,0.0751174981576549,29859200,0.0742590650916099,0.0835837238037746,19.18453618787736,-0.0046715925157913,-0.0039156471464838,-0.0007559453693075,0.0873084778182618,0.1041836722133512,0.0704332834231723,1981,3,11,2,-2.4492935982947065e-15,1.0,0.8660254037844393,-0.499999999999999
1981-03-12,0.077692777428807,0.0772635638713836,0.0772635638713836,59248000,0.0772635638713836,0.0824346038160672,30.863794090551792,-0.0048983438391506,-0.0041121864850172,-0.0007861573541334,0.0863518193471305,0.1035057909135375,0.0691978477807235,1981,3,12,3,0.7818314824680282,0.6234898018587355,0.7431448254773942,-0.6691306063588582
1981-03-13,0.0768343438802458,0.0764051303267479,0.0768343438802458,231302400,0.0764051303267479,0.0813383359089182,29.460207732236952,-0.0050886554568628,-0.0043074802793863,-0.0007811751774765,0.0854045156309036,0.1027863848515497,0.0680226464102575,1981,3,13,4,0.9749279121818242,-0.2225209339563119,0.5877852522924736,-0.8090169943749471
1981-03-16,0.0802688667984405,0.079410433769226,0.079410433769226,37228800,0.079410433769226,0.080987808247156,40.40759100463866,-0.004940030319125,-0.004433990287334,-0.0005060400317909,0.0848336506916962,0.1017567255802163,0.0679105758031761,1981,3,16,0,-0.9749279121818214,-0.2225209339563238,6.123233995736766e-16,-1.0
1981-03-17,0.0841317989842864,0.0832733660936355,0.0832733660936355,43747200,0.0832733660936355,0.0814033642192432,51.55766799690773,-0.0044591353355414,-0.0044390192969755,-2.0116038565855948e-05,0.0846850521585476,0.1008095145668786,0.0685605897502165,1981,3,17,1,-0.7818314824680315,0.6234898018587315,-0.2079116908177581,-0.978147600733806
